Sample	Purity	Ploidy	Number of Segments	Flags
CGOV353T	0.87	2.86	197	-
CGOV354T	0.71	3.14	197	-
CGOV358T	0.41	2.69	34	-
CGOV359T	0.71	2.79	102	-
CGOV362T	0.81	1.78	136	-
CGOV365T	0.32	1.8	115	-
CGOV369T	0.49	2.9	143	-
CGOV375T	0.52	2.85	72	-
CGOV464T	0.56	1.99	29	-
CGOV482T	0.59	1.99	26	-
CGOV291Te	0.65	2.78	121	-
CGOV292Tb	0.38	2.12	39	-
CGOV293Tb	0.35	4.17	160	-
CGOV295Tb	0.71	1.96	113	-
CGOV296Tb	0.58	2.07	77	-
CGOV127T_2	0.84	2.27	1536	Noisy sample, Calls can be unreliable.
CGOV131T	NA	2	663	Noisy sample, Calls can be unreliable. Insufficient information to estimate purity. Likely diplod or purity too low.
CGOV136T_1	0.3	1.97	39	-
CGOV138T	0.29	3.49	250	Low purity. Calls can be unreliable.
CGOV139T_1	0.67	3.09	655	-
CGOV140T	0.16	2.1	171	Low purity. Calls can be unreliable.
CGOV141T_1	0.3	1.9	192	-
CGOV142T	0.21	1.87	32	Low purity. Calls can be unreliable.
CGOV170T	0.86	1.8	89	-
CGOV172T	0.86	1.85	136	-
CGOV173T	0.6	1.73	80	-
CGOV174T	0.8	2.18	97	-
CGOV176T	0.94	2.06	32	-
CGOV155T_1	0.78	1.52	41	-
CGOV159T	NA	2	32	Insufficient information to estimate purity. Likely diplod or purity too low.
CGOV159T_3	0.3	2.11	33	-
CGOV144T	0.84	2.13	42	-
CGOV145T	0.64	2.97	82	-
CGOV145T_1	0.72	3.01	82	-
CGOV147T	NA	2	45	Insufficient information to estimate purity. Likely diplod or purity too low.
CGOV148T	NA	2	27	Insufficient information to estimate purity. Likely diplod or purity too low.
CGOV154T	0.78	2.08	56	-
CGOV157T	NA	2	23	Insufficient information to estimate purity. Likely diplod or purity too low.
CGOV160T	0.82	1.98	30	-
CGOV160T_1	NA	2	33	Insufficient information to estimate purity. Likely diplod or purity too low.
CGOV160T_2	NA	2	41	Insufficient information to estimate purity. Likely diplod or purity too low.
CGOV161T	0.28	2.67	186	Low purity. Calls can be unreliable.
CGOV162T	0.78	1.99	29	-
CGOV468T	NA	2	25	Insufficient information to estimate purity. Likely diplod or purity too low.
CGOV462T	0.22	3.24	45	Low purity. Calls can be unreliable.
CGOV477T	0.27	1.79	64	Low purity. Calls can be unreliable.
CGOV463T	NA	2	23	Insufficient information to estimate purity. Likely diplod or purity too low.
CGOV487T	0.72	2.42	34	-
CGOV465T	0.62	2.11	57	-
CGOV480T	0.48	2.02	25	-
CGOV466T	0.48	1.98	31	-
CGOV484T	0.83	2.08	28	-
CGOV467T	0.48	2.1	181	-
CGOV475T	0.3	2.08	37	-
CGOV485T	0.72	1.92	117	-
CGOV469T	0.54	1.96	73	-
CGOV470T	0.53	1.93	62	-
CGOV471T	NA	2	177	Insufficient information to estimate purity. Likely diplod or purity too low.
CGOV472T	0.6	2.02	34	-
CGOV478T	NA	2	27	Insufficient information to estimate purity. Likely diplod or purity too low.
CGOV473T	0.46	1.99	123	-
CGOV474T	NA	2	23	Insufficient information to estimate purity. Likely diplod or purity too low.
CGOV486T	0.67	1.82	52	-
CGOV476T	NA	2	37	Insufficient information to estimate purity. Likely diplod or purity too low.
CGOV479T	NA	2	23	Insufficient information to estimate purity. Likely diplod or purity too low.
CGOV488T	0.52	1.99	29	-
CGOV481T	0.38	3.21	52	-
